河南省,410000,,
洛阳市,410300,河南省,
新安县,410323,洛阳市,河南省
栾川县,410324,洛阳市,河南省
洛宁县,410328,洛阳市,河南省
西工区,410303,洛阳市,河南省
宜阳县,410327,洛阳市,河南省
伊川县,410329,洛阳市,河南省
孟津区,410308,洛阳市,河南省
洛龙区,410311,洛阳市,河南省
汝阳县,410326,洛阳市,河南省
偃师区,410307,洛阳市,河南省
老城区,410302,洛阳市,河南省
涧西区,410305,洛阳市,河南省
瀍河回族区,410304,洛阳市,河南省
嵩县,410325,洛阳市,河南省
漯河市,411100,河南省,
临颍县,411122,漯河市,河南省
郾城区,411103,漯河市,河南省
源汇区,411102,漯河市,河南省
召陵区,411104,漯河市,河南省
舞阳县,411121,漯河市,河南省
南阳市,411300,河南省,
南召县,411321,南阳市,河南省
唐河县,411328,南阳市,河南省
西峡县,411323,南阳市,河南省
卧龙区,411303,南阳市,河南省
淅川县,411326,南阳市,河南省
桐柏县,411330,南阳市,河南省
社旗县,411327,南阳市,河南省
内乡县,411325,南阳市,河南省
镇平县,411324,南阳市,河南省
方城县,411322,南阳市,河南省
新野县,411329,南阳市,河南省
邓州市,411381,南阳市,河南省
宛城区,411302,南阳市,河南省
信阳市,411500,河南省,
浉河区,411502,信阳市,河南省
淮滨县,411527,信阳市,河南省
固始县,411525,信阳市,河南省
潢川县,411526,信阳市,河南省
息县,411528,信阳市,河南省
新县,411523,信阳市,河南省
商城县,411524,信阳市,河南省
光山县,411522,信阳市,河南省
罗山县,411521,信阳市,河南省
平桥区,411503,信阳市,河南省
濮阳市,410900,河南省,
范县,410926,濮阳市,河南省
南乐县,410923,濮阳市,河南省
清丰县,410922,濮阳市,河南省
华龙区,410902,濮阳市,河南省
台前县,410927,濮阳市,河南省
濮阳县,410928,濮阳市,河南省
郑州市,410100,河南省,
登封市,410185,郑州市,河南省
中牟县,410122,郑州市,河南省
惠济区,410108,郑州市,河南省
上街区,410106,郑州市,河南省
中原区,410102,郑州市,河南省
新密市,410183,郑州市,河南省
荥阳市,410182,郑州市,河南省
金水区,410105,郑州市,河南省
巩义市,410181,郑州市,河南省
新郑市,410184,郑州市,河南省
二七区,410103,郑州市,河南省
管城回族区,410104,郑州市,河南省
三门峡市,411200,河南省,
渑池县,411221,三门峡市,河南省
湖滨区,411202,三门峡市,河南省
陕州区,411203,三门峡市,河南省
卢氏县,411224,三门峡市,河南省
灵宝市,411282,三门峡市,河南省
义马市,411281,三门峡市,河南省
济源市,419001,河南省,
许昌市,411000,河南省,
建安区,411003,许昌市,河南省
魏都区,411002,许昌市,河南省
长葛市,411082,许昌市,河南省
襄城县,411025,许昌市,河南省
鄢陵县,411024,许昌市,河南省
禹州市,411081,许昌市,河南省
焦作市,410800,河南省,
孟州市,410883,焦作市,河南省
中站区,410803,焦作市,河南省
马村区,410804,焦作市,河南省
修武县,410821,焦作市,河南省
山阳区,410811,焦作市,河南省
解放区,410802,焦作市,河南省
温县,410825,焦作市,河南省
武陟县,410823,焦作市,河南省
博爱县,410822,焦作市,河南省
沁阳市,410882,焦作市,河南省
开封市,410200,河南省,
尉氏县,410223,开封市,河南省
鼓楼区,410204,开封市,河南省
禹王台区,410205,开封市,河南省
顺河回族区,410203,开封市,河南省
通许县,410222,开封市,河南省
龙亭区,410202,开封市,河南省
祥符区,410212,开封市,河南省
兰考县,410225,开封市,河南省
杞县,410221,开封市,河南省
商丘市,411400,河南省,
宁陵县,411423,商丘市,河南省
民权县,411421,商丘市,河南省
夏邑县,411426,商丘市,河南省
虞城县,411425,商丘市,河南省
柘城县,411424,商丘市,河南省
睢县,411422,商丘市,河南省
梁园区,411402,商丘市,河南省
睢阳区,411403,商丘市,河南省
永城市,411481,商丘市,河南省
周口市,411600,河南省,
淮阳区,411603,周口市,河南省
郸城县,411625,周口市,河南省
扶沟县,411621,周口市,河南省
川汇区,411602,周口市,河南省
沈丘县,411624,周口市,河南省
鹿邑县,411628,周口市,河南省
太康县,411627,周口市,河南省
项城市,411681,周口市,河南省
西华县,411622,周口市,河南省
商水县,411623,周口市,河南省
驻马店市,411700,河南省,
西平县,411721,驻马店市,河南省
遂平县,411728,驻马店市,河南省
上蔡县,411722,驻马店市,河南省
汝南县,411727,驻马店市,河南省
平舆县,411723,驻马店市,河南省
泌阳县,411726,驻马店市,河南省
驿城区,411702,驻马店市,河南省
确山县,411725,驻马店市,河南省
正阳县,411724,驻马店市,河南省
新蔡县,411729,驻马店市,河南省
平顶山市,410400,河南省,
宝丰县,410421,平顶山市,河南省
卫东区,410403,平顶山市,河南省
石龙区,410404,平顶山市,河南省
新华区,410402,平顶山市,河南省
湛河区,410411,平顶山市,河南省
鲁山县,410423,平顶山市,河南省
汝州市,410482,平顶山市,河南省
舞钢市,410481,平顶山市,河南省
叶县,410422,平顶山市,河南省
郏县,410425,平顶山市,河南省
安阳市,410500,河南省,
林州市,410581,安阳市,河南省
文峰区,410502,安阳市,河南省
北关区,410503,安阳市,河南省
安阳县,410522,安阳市,河南省
殷都区,410505,安阳市,河南省
龙安区,410506,安阳市,河南省
汤阴县,410523,安阳市,河南省
滑县,410526,安阳市,河南省
内黄县,410527,安阳市,河南省
鹤壁市,410600,河南省,
淇县,410622,鹤壁市,河南省
鹤山区,410602,鹤壁市,河南省
山城区,410603,鹤壁市,河南省
淇滨区,410611,鹤壁市,河南省
浚县,410621,鹤壁市,河南省
新乡市,410700,河南省,
红旗区,410702,新乡市,河南省
凤泉区,410704,新乡市,河南省
牧野区,410711,新乡市,河南省
卫滨区,410703,新乡市,河南省
新乡县,410721,新乡市,河南省
延津县,410726,新乡市,河南省
卫辉市,410781,新乡市,河南省
获嘉县,410724,新乡市,河南省
长垣市,410783,新乡市,河南省
封丘县,410727,新乡市,河南省
原阳县,410725,新乡市,河南省
辉县市,410782,新乡市,河南省
广东省,440000,,
汕头市,440500,广东省,
澄海区,440515,汕头市,广东省
南澳县,440523,汕头市,广东省
濠江区,440512,汕头市,广东省
潮南区,440514,汕头市,广东省
潮阳区,440513,汕头市,广东省
金平区,440511,汕头市,广东省
龙湖区,440507,汕头市,广东省
佛山市,440600,广东省,
高明区,440608,佛山市,广东省
三水区,440607,佛山市,广东省
